50 50
##################################################
#                                                #
#                                                #
#                                                #
#    ######                             ######   #
#    ######                             ######   #
#    ##                                     ##   #
#    ##                                     ##   #
#    ##                                     ##   #
#    ##                                     ##   #
#                                                #
#                                                #
#                                                #
#          ##                        ##          #
#          ##                        ##          #
#            ##                    ##            #
#            ##                    ##            #
#              ####            ####              #
#              ####            ####              #
#              ####            ####              #
#              ####            ####              #
#            ##                    ##            #
#            ##                    ##            #
#          ##                        ##          #
#          ##                        ##          #
#                                                #
#                                                #
#                                                #
#                  ############                  #
#                  ############                  #
#                  ############                  #
#          ############################          #
#          ############################          #
#          ############################          #
#                  ############                  #
#                  ############                  #
#                  ############                  #
#                                                #
#                                                #
#                                                #
#   ##                                      ##   #
#   ##                                      ##   #
#   ##                                      ##   #
#   ##                                      ##   #
#   ######                              ######   #
#   ######                              ######   #
#                                                #
#                                                #
#                                                #
##################################################
